personLabel,categoryLabel,year,age
Луиза Глюк,Нобелевская премия по литературе,2020,77
Кайлаш Сатьяртхи,Нобелевская премия мира,2014,60
Хосе Эчегерай-и-Эйсагирре,Нобелевская премия по литературе,1904,72
Карл Ялмар Брантинг,Нобелевская премия мира,1921,61
Дерек Уолкотт,Нобелевская премия по литературе,1992,62
Лю Сяобо,Нобелевская премия мира,2010,55
Аун Сан Су Чжи,Нобелевская премия мира,1991,46
Герман Гессе,Нобелевская премия по литературе,1946,69
Барак Обама,Нобелевская премия мира,2009,48
Франс Эмиль Силланпяя,Нобелевская премия по литературе,1939,51
Абий Ахмед Али,Нобелевская премия мира,2019,43
Карл фон Осецкий,Нобелевская премия мира,1935,46
Абдулразак Гурна,Нобелевская премия по литературе,2021,73
Синклер Льюис,Нобелевская премия по литературе,1930,45
Элис Манро,Нобелевская премия по литературе,2013,82
Анни Эрно,Нобелевская премия по литературе,2022,82
Жозе Сарамаго,Нобелевская премия по литературе,1998,76
Камило Хосе Села,Нобелевская премия по литературе,1989,73
Мария Корина Мачадо,Нобелевская премия мира,2025,58
Мухаммад Юнус,Нобелевская премия мира,2006,66
Десмонд Туту,Нобелевская премия мира,1984,53
Людвиг Квидде,Нобелевская премия мира,1927,69
Редьярд Киплинг,Нобелевская премия по литературе,1907,42
Хуан Рамон Хименес,Нобелевская премия по литературе,1956,75
Эйвинд Юнсон,Нобелевская премия по литературе,1974,74
Элен Джонсон-Серлиф,Нобелевская премия мира,2011,73
Клод Симон,Нобелевская премия по литературе,1985,72
Анвар Садат,Нобелевская премия мира,1978,60
Одисеас Элитис,Нобелевская премия по литературе,1979,68
Бертран Рассел,Нобелевская премия по литературе,1950,78
Светлана Александровна Алексиевич,Нобелевская премия по литературе,2015,67
Вангари Маатаи,Нобелевская премия мира,2004,64
Джон Стейнбек,Нобелевская премия по литературе,1962,60
Мартин Лютер Кинг,Нобелевская премия мира,1964,35
Мария Ресса,Нобелевская премия мира,2021,58
Джордж Бернард Шоу,Нобелевская премия по литературе,1925,69
Фритьоф Нансен,Нобелевская премия мира,1922,61
Т. С. Элиот,Нобелевская премия по литературе,1948,60
Герта Мюллер,Нобелевская премия по литературе,2009,56
Теодор Моммзен,Нобелевская премия по литературе,1902,85
Нельсон Мандела,Нобелевская премия мира,1993,75
Роже Мартен дю Гар,Нобелевская премия по литературе,1937,56
Йоргос Сеферис,Нобелевская премия по литературе,1963,63
Ярослав Сейферт,Нобелевская премия по литературе,1984,83
Томас Манн,Нобелевская премия по литературе,1929,54
Орхан Памук,Нобелевская премия по литературе,2006,54
Уильям Фолкнер,Нобелевская премия по литературе,1949,52
Сэмюэл Беккет,Нобелевская премия по литературе,1969,63
Йоханнес Вильхельм Йенсен,Нобелевская премия по литературе,1944,71
Андрей Дмитриевич Сахаров,Нобелевская премия мира,1975,54
Эрнест Хемингуэй,Нобелевская премия по литературе,1954,55
Карл Адольф Гьеллеруп,Нобелевская премия по литературе,1917,60
Хуан Мануэль Сантос,Нобелевская премия мира,2016,65
Оскар Ариас Санчес,Нобелевская премия мира,1987,46
Висенте Алейсандре,Нобелевская премия по литературе,1977,79
Эрик Аксель Карлфельдт,Нобелевская премия по литературе,1931,67
Кадзуо Исигуро,Нобелевская премия по литературе,2017,63
Карл Шпиттелер,Нобелевская премия по литературе,1919,74
Шмуэль Йосеф Агнон,Нобелевская премия по литературе,1966,79
Хенрик Понтоппидан,Нобелевская премия по литературе,1917,60
Александр Исаевич Солженицын,Нобелевская премия по литературе,1970,52
Патрик Модиано,Нобелевская премия по литературе,2014,69
Наргиз Мохаммади,Нобелевская премия мира,2023,51
Ольга Токарчук,Нобелевская премия по литературе,2018,56
Шимон Перес,Нобелевская премия мира,1994,71
Боб Дилан,Нобелевская премия по литературе,2016,75
Генри Киссинджер,Нобелевская премия мира,1973,50
Ким Дэ Чжун,Нобелевская премия мира,2000,76
Гао Синцзянь,Нобелевская премия по литературе,2000,60
Луиджи Пиранделло,Нобелевская премия по литературе,1934,67
Альбер Камю,Нобелевская премия по литературе,1957,44
Пабло Неруда,Нобелевская премия по литературе,1971,67
Альфред Герман Фрид,Нобелевская премия мира,1911,47
Лайнус Карл Полинг,Нобелевская премия мира,1962,61
Альберт Швейцер,Нобелевская премия мира,1952,77
Лех Валенса,Нобелевская премия мира,1983,40
Карл Густав Вернер фон Хейденстам,Нобелевская премия по литературе,1916,57
Патрик Уайт,Нобелевская премия по литературе,1973,61
Сен-Жон Перс,Нобелевская премия по литературе,1960,73
Харри Мартинсон,Нобелевская премия по литературе,1974,70
Владислав Реймонт,Нобелевская премия по литературе,1924,57
Джон Мартинис,Нобелевская премия по физике,2025,67
Йоханнес Георг Беднорц,Нобелевская премия по физике,1987,37
Поль Дирак,Нобелевская премия по физике,1933,31
Йоханнес Ханс Даниель Йенсен,Нобелевская премия по физике,1963,56
Вильгельм Вин,Нобелевская премия по физике,1911,47
Густав Людвиг Герц,Нобелевская премия по физике,1925,38
Джеймс Франк,Нобелевская премия по физике,1925,43
